vendor,current_price,old_price
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,15.97,17.97
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
Walmart,3.27,4.77
